tipo,nome,repositorio,kingdom,tag,url
ocorrencias,DVPR - Universidade Tecnológica Federal do Paraná. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,dvpr,https://ipt.jbrj.gov.br/jabot/
ocorrencias,ECT - Herbário da Embrapa Clima Temperado. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,ect,https://ipt.jbrj.gov.br/jabot/
ocorrencias,EVB - Herbário Evaldo Buttura. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hevb,https://ipt.jbrj.gov.br/jabot/
ocorrencias,FCAB - Herbário Friburguense - Pontifícia Universidade Católica do Rio de Janeiro,jabot,Plantae,fcab,https://ipt.jbrj.gov.br/jabot/
ocorrencias,FLOR - Herbário da Universidade Federal de Santa Catarina. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,flor,https://ipt.jbrj.gov.br/jabot/
ocorrencias,FURB - Herbário da Universidade Regional de Blumenau. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,furb,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HATM - Herbário Padre José Maria de Albuquerque. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hatm,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HB - Herbarium Bradeanum. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hb_herbarium,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HBR - Herbário Barbosa Rodrigues. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hbr,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HCF - Universidade Tecnológica Federal do Paraná - Campus Campo Mourão,jabot,Plantae,hcf,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HCJS - Herbário de Carajas. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hcjs,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HCP - Herbário da Universidade Federal Rural da Amazônia. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hcp,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HDJF - Universidade Federal dos Vales do Jequitinhonha e Mucuri,jabot,Plantae,hdjf,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HEPH - Herbário Ezechias Paulo Heringuer do Jardim Botânico de Brasília. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,heph,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HERBAM - Herbário da Amazônia Meridional. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,herbam,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HF - Herbário da Universidade Federal do Pará. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hf_herbarium,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HIPE - Herbário Ipê - Jardim Botânico Municipal de São José,jabot,Plantae,hipe,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HISA - Herbário da Universidade Estadual Paulista. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hisa,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HJ - Herbário da Universidade Federal de Jataí. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hj_herbarium,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HRB - Herbário RADAMBRASIL. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hrb,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HRJ - Herbário da Universidade do Estado do Rio de Janeiro. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hrj,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HSTM - Herbário da Universidade Federal do Oeste do Pará. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hstm,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HTO - Herbário do Tocantins - UFT,jabot,Plantae,hto,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HUEG - Herbário da Universidade Estadual de Goiás. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hueg,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HUENF - Herbário da Universidade Estadual do Norte Fluminense. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,huenf,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HUFSP - Herbário da Universidade Federal de São Paulo. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hufsp,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HUNI - Herbário da Universidade Federal do Estado do Rio de Janeiro. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,huni,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HUPG - Universidade Estadual de Ponta Grossa,jabot,Plantae,hupg,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HURB - Herbário da Universidade do Recôncavo da Bahia. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hurb,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HUVA - Herbário da Universidade Estadual Vale do Acaraú. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,huva,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HVAT - Herbário da Universidade do Vale do Taquari. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hvat,https://ipt.jbrj.gov.br/jabot/
ocorrencias,HVC - Herbário da Universidade Federal da Bahia. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,hvc,https://ipt.jbrj.gov.br/jabot/
ocorrencias,IBGE - Herbário IBGE. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,ibge,https://ipt.jbrj.gov.br/jabot/
ocorrencias,IBIUEMG - Herbário da Universidade do Estado de Minas Gerais. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,ibiuemg,https://ipt.jbrj.gov.br/jabot/
ocorrencias,IFRV - Herbário do Instituto Federal Goiano. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,ifrv,https://ipt.jbrj.gov.br/jabot/
ocorrencias,JABU - Herbário JABOTI da Universidade Estadual Paulista. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,jabu,https://ipt.jbrj.gov.br/jabot/
ocorrencias,JAR - Herbário José Ângelo Rizzo - UEG,jabot,Plantae,jar,https://ipt.jbrj.gov.br/jabot/
ocorrencias,JBB - Jardim Botânico de Brasília,jabot,Plantae,jbb,https://ipt.jbrj.gov.br/jabot/
ocorrencias,JOI - Herbário da Universidade da Região de Joinville. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,joi,https://ipt.jbrj.gov.br/jabot/
ocorrencias,LAG - Herbário da Universidade do Estado de Santa Caratina. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,lag,https://ipt.jbrj.gov.br/jabot/
ocorrencias,LPF - Herbário do Laboratório de Produtos Florestais do Serviço Florestal Brasileiro. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,lpf,https://ipt.jbrj.gov.br/jabot/
ocorrencias,LSPF - Universidade Federal da Fronteira Sul - SFB,jabot,Plantae,lspf,https://ipt.jbrj.gov.br/jabot/
ocorrencias,LUSC - Herbário Lages da Universidade do Estado de Santa Catarina. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,lusc,https://ipt.jbrj.gov.br/jabot/
ocorrencias,MBM - Herbário do Museu Botânico Municipal de Curitiba,jabot,Plantae,mbm,https://ipt.jbrj.gov.br/jabot/
ocorrencias,MBML - Instituto Nacional da Mata Atlântica - INMA,jabot,Plantae,mbml,https://ipt.jbrj.gov.br/jabot/
ocorrencias,MCCA - Herbário da Universidade Federal de Minas Gerais. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,mcca,https://ipt.jbrj.gov.br/jabot/
ocorrencias,MFS - Herbário Profª. Drª. Marlene Freitas da Silva da Universidade Estadual do Pará. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,mfs,https://ipt.jbrj.gov.br/jabot/
ocorrencias,MUFAL - Herbário da Universidade Federal de Alagoas. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,mufal,https://ipt.jbrj.gov.br/jabot/
ocorrencias,NIT - Herbário da Universidade Federal Fluminense. Jabot - Banco de Dados da Flora Brasileira,jabot,Plantae,nit,https://ipt.jbrj.gov.br/jabot/
